host name,Email address,Email,Address,City,state,country,Postal code,phone number,first name,last name,personal email,longitude,latitude
Gemeente Heumen,heumen@straat.info,heumen@heumen.nl,Postbus 200,MALDEN,nvt,Nederland,6580 AZ,14 024,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Heusden,heusden@straat.info,info@heusden.nl,Postbus 41,VLIJMEN,nvt,Nederland,5250 AA,14 073,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hillegom,hillegom@straat.info,info@hillegom.nl,Postbus 32,HILLEGOM,nvt,Nederland,2180 AA,14 0252,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hilvarenbeek,hilvarenbeek@straat.info,gemeente@hilvarenbeek.nl,Postbus 3,HILVARENBEEK,nvt,Nederland,5080 AA,(013) 505 83 83,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hilversum,hilversum@straat.info,gemeente@hilversum.nl,Postbus 9900,HILVERSUM,nvt,Nederland,1201 GM,14 035,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hoeksche Waard,info@gemeentehw.nl,info@gemeentehw.nl,Postbus 2003,Oud-Beijerland,nvt,Nederland,3260 EA,088 647 36 47,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hof van Twente,hof@straat.info,info@hofvantwente.nl,Postbus 54,GOOR,nvt,Nederland,7470 AB,(0547) 85 85 85,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hollands Kroon,hollands@straat.info,contact@hollandskroon.nl,Postbus 8,ANNA PAULOWNA,nvt,Nederland,1760 AA,(088) 321 50 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hoogeveen,hoogeveen@straat.info,info@hoogeveen.nl,Postbus 20000,HOOGEVEEN,nvt,Nederland,7900 PA,14 0528,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hoorn,hoorn@straat.info,gemeente@hoorn.nl,Postbus 603,HOORN NH,nvt,Nederland,1620 AR,(0229) 25 22 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Horst aan de Maas,horst@straat.info,gemeente@horstaandemaas.nl,Postbus 6005,HORST,nvt,Nederland,5960 AA,(077) 477 97 77,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Houten,houten@straat.info,gemeentehuis@houten.nl,Postbus 30,HOUTEN,nvt,Nederland,3990 DA,(030) 639 26 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Huizen,huizen@straat.info,gemeente@huizen.nl,Postbus 5,HUIZEN,nvt,Nederland,1270 AA,(035) 528 19 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hulst,hulst@straat.info,info@gemeentehulst.nl,Postbus 49,HULST,nvt,Nederland,4560 AA,14 0114,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente IJsselstein,ijsselstein@straat.info,info@ijsselstein.nl,Postbus 26,IJSSELSTEIN UT,nvt,Nederland,3400 AA,14 030,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Kaag en Braassem,kaag@straat.info,info@kaagenbraassem.nl,Postbus 1,ROELOFARENDSVEEN,nvt,Nederland,2370 AA,(071) 332 72 72,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Kampen,kampen@straat.info,info@kampen.nl,Postbus 5009,KAMPEN,nvt,Nederland,8260 GA,(038) 339 29 99,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Kapelle,kapelle@straat.info,gemeente@kapelle.nl,Postbus 79,KAPELLE,nvt,Nederland,4420 AC,(0113) 33 31 10,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Katwijk,katwijk@straat.info,info@katwijk.nl,Postbus 589,KATWIJK ZH,nvt,Nederland,2220 AN,(071) 406 50 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Kerkrade,kerkrade@straat.info,gemeentehuis@kerkrade.nl,Postbus 600,KERKRADE,nvt,Nederland,6460 AP,14 045,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Koggenland,koggenland@straat.info,info@koggenland.nl,Postbus 21,AVENHORN,nvt,Nederland,1633 ZG,(0229) 54 84 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Krimpen aan den IJssel,krimpen@straat.info,gemeente@krimpenaandenijssel.nl,Postbus 200,KRIMPEN AAN DEN IJSSEL,nvt,Nederland,2920 AE,14 0180,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Krimpenerwaard,krimpenerwaard@straat.info,info@krimpenerwaard.nl,Postbus 51,STOLWIJK,nvt,Nederland,2820 AB,140182,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Laarbeek,laarbeek@straat.info,gemeente@laarbeek.nl,Postbus 190,BEEK EN DONK,nvt,Nederland,5740 AD,(0492) 46 97 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Landerd,landerd@straat.info,info@landerd.nl,Postbus 35,ZEELAND,nvt,Nederland,5410 AA,(0486) 45 81 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Landgraaf,landgraaf@straat.info,gemeente@landgraaf.nl,Postbus 31000,LANDGRAAF,nvt,Nederland,6370 AA,14 045,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Landsmeer,landsmeer@straat.info,Gemeente@Landsmeer.nl,Postbus 1,LANDSMEER,nvt,Nederland,1120 AA,(020) 487 71 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Langedijk,langedijk@straat.info,info@gemeentelangedijk.nl,Postbus 15,NOORD-SCHARWOUDE,nvt,Nederland,1723 ZG,(0226) 33 44 33,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Lansingerland,lansingerland@straat.info,info@lansingerland.nl,Postbus 1,BERKEL EN RODENRIJS,nvt,Nederland,2650 AA,14 010,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Laren,laren@straat.info,info@laren.nl,Postbus 71,EEMNES,nvt,Nederland,3755 ZH,(035) 751 34 44,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Leeuwarden,leeuwarden@straat.info,gemeente@leeuwarden.nl,Postbus 21000,LEEUWARDEN,nvt,Nederland,8900 JA,14 058,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Leiden,leiden@straat.info,geenmailleiden@straat.info,Postbus 9100,LEIDEN,nvt,Nederland,2300 PC,14071,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Leiderdorp,leiderdorp@straat.info,info@leiderdorp.nl,Postbus 35,LEIDERDORP,nvt,Nederland,2350 AA,(071) 545 85 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Leidschendam-Voorburg,leidschendam@straat.info,info@leidschendam-voorburg.nl,Postbus 1005,LEIDSCHENDAM,nvt,Nederland,2260 BA,14070,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Lelystad,lelystad@straat.info,gemeente@lelystad.nl,Postbus 91,LELYSTAD,nvt,Nederland,8200 AB,14 03 20,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Leudal,leudal@straat.info,info@leudal.nl,Postbus 3008,HEYTHUYSEN,nvt,Nederland,6093 ZG,(0475) 85 90 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Leusden,leusden@straat.info,gemeente@leusden.nl,Postbus 150,LEUSDEN,nvt,Nederland,3830 AD,14 033,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Lingewaard,lingewaard@straat.info,gemeente@lingewaard.nl,Postbus 15,BEMMEL,nvt,Nederland,6680 AA,(026) 326 01 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Lisse,lisse@straat.info,gemeente@lisse.nl,Postbus 200,LISSE,nvt,Nederland,2160 AE,14 0252,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Lochem,lochem@straat.info,info@lochem.nl,Postbus 17,LOCHEM,nvt,Nederland,7240 AA,(0573) 28 92 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Loon op Zand,loon@straat.info,info@loonopzand.nl,Postbus 7,KAATSHEUVEL,nvt,Nederland,5170 AA,(0416) 28 91 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Lopik,lopik@straat.info,gemeente@lopik.nl,Postbus 50,LOPIK,nvt,Nederland,3410 CB,(0348) 55 99 55,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Loppersum,loppersum@straat.info,gemeente@loppersum.nl,Postbus 25,LOPPERSUM,nvt,Nederland,9919 ZG,(0596) 54 82 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Losser,losser@straat.info,gemeente@losser.nl,Postbus 90,LOSSER,nvt,Nederland,7580 AB,(053) 537 74 44,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Maasdriel,maasdriel@straat.info,info@maasdriel.nl,Postbus 10000,KERKDRIEL,nvt,Nederland,5330 GA,14 0418,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Maasgouw,maasgouw@straat.info,info@gemeentemaasgouw.nl,Postbus 7000,MAASBRACHT,nvt,Nederland,6050 AA,(0475) 85 25 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Maassluis,maassluis@straat.info,gemeente@maassluis.nl,Postbus 55,MAASSLUIS,nvt,Nederland,3140 AB,14 010,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Maastricht,maastricht@straat.info,post@maastricht.nl,Postbus 1992,MAASTRICHT,nvt,Nederland,6201 BZ,14 043,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Medemblik,medemblik@straat.info,info@medemblik.nl,Postbus 45,WOGNUM,nvt,Nederland,1687 ZG,(0229) 85 60 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Meerssen,meerssen@straat.info,info@meerssen.nl,Postbus 90,MEERSSEN,nvt,Nederland,6230 AB,14 043,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Meierijstad,meierijstad@straat.info,geenmailmeierijstad.nl,Postbus 10001,Veghel,nvt,Nederland,5460 DA,14 0413,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Meppel,meppel@straat.info,postbus@meppel.nl,Postbus 501,MEPPEL,nvt,Nederland,7940 AM,14 0522,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Middelburg,middelburg@straat.info,info@middelburg.nl,Postbus 6000,MIDDELBURG,nvt,Nederland,4330 LA,14 0118,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Midden-Delfland,middendelfland@straat.info,gemeente@middendelfland.nl,Postbus 1,SCHIPLUIDEN,nvt,Nederland,2636 ZG,(015) 380 41 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Midden-Drenthe,middendrenthe@straat.info,gemeente@middendrenthe.nl,Postbus 24,BEILEN,nvt,Nederland,9410 AA,(0593) 53 92 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Midden-Groningen,middengroningen@straat.info,gemeente@midden-groningen.nl,Postbus 75,HOOGEZAND,nvt,Nederland,9600 AB,(0598) 373737,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Mill en St. Hubert,mill@straat.info,info@gemeente-mill.nl,Postbus 7,GRAVE,nvt,Nederland,5360 AA,(0485) 46 03 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Moerdijk,moerdijk@straat.info,info@moerdijk.nl,Postbus 4,ZEVENBERGEN,nvt,Nederland,4760 AA,(0168) 37 36 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Molenlanden,info@molenlanden.nl,info@molenlanden.nl,Postbus 5,Bleskensgraaf,nvt,Nederland,2970 AA,088 7515000,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Montferland,montferland@straat.info,Gemeente@montferland.info,Postbus 47,DIDAM,nvt,Nederland,6940 BA,(0316) 29 13 91,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Montfoort,montfoort@straat.info,info@montfoort.nl,Postbus 41,MONTFOORT,nvt,Nederland,3417 ZG,(0348) 47 64 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Mook en Middelaar,mook@straat.info,gemeente@mookenmiddelaar.nl,Postbus 200,MOOK,nvt,Nederland,6585 ZK,(024) 696 91 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Neder-Betuwe,neder@straat.info,info@nederbetuwe.nl,Postbus 20,OPHEUSDEN,nvt,Nederland,4043 ZG,(0488) 44 99 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Nederweert,nederweert@straat.info,info@nederweert.nl,Postbus 2728,NEDERWEERT,nvt,Nederland,6030 AA,(0495) 67 71 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Nieuwegein,nieuwegein@straat.info,gemeente@nieuwegein.nl,Postbus 1,NIEUWEGEIN,nvt,Nederland,3430 AA,14 030,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Nieuwkoop,nieuwkoop@straat.info,info@nieuwkoop.nl,Postbus 1,TER AAR,nvt,Nederland,2460 AA,14 0172,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Nijkerk,nijkerk@straat.info,gemeente@nijkerk.eu,Postbus 1000,NIJKERK GLD,nvt,Nederland,3860 BA,14 033,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Nijmegen,nijmegen@straat.info,gemeente@nijmegen.nl,Postbus 9105,NIJMEGEN,nvt,Nederland,6500 HG,14-024,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Nissewaard,nissewaard@straat.info,gemeente@nissewaard.nl,Postbus 25,SPIJKENISSE,nvt,Nederland,3200 AA,14 0181,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Noardeast-Fryslan,info@noardeast-fryslan.nl,info@noardeast-fryslan.nl,Postbus 13,Kollum,nvt,Nederland,9290 AA,0519 298888,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Noord-Beveland,noord@straat.info,info@noord-beveland.nl,Postbus 3,WISSENKERKE,nvt,Nederland,4490 AA,(0113) 37 73 77,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Noordenveld,noordenveld@straat.info,postbus@gemeentenoordenveld.nl,Postbus 109,RODEN,nvt,Nederland,9300 AC,14 050,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Noordoostpolder,noordoostpolder@straat.info,info@noordoostpolder.nl,Postbus 155,EMMELOORD,nvt,Nederland,8300 AD,(0527) 63 39 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Noordwijk,noordwijk@straat.info,gemeente@noordwijk.nl,Postbus 298,NOORDWIJK ZH,nvt,Nederland,2200 AG,(071) 366 00 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Nuenen,nuenen@straat.info,gemeentehuis@nuenen.nl,Postbus 10000,NUENEN,nvt,Nederland,5670 GA,(040) 263 16 31,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Nunspeet,nunspeet@straat.info,gemeente@nunspeet.nl,Postbus 79,NUNSPEET,nvt,Nederland,8070 AB,(0341) 25 99 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Oegstgeest,oegstgeest@straat.info,info@oegstgeest.nl,Postbus 1270,OEGSTGEEST,nvt,Nederland,2340 BG,(071) 519 17 93,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Oirschot,oirschot@straat.info,info@oirschot.nl,Postbus 11,OIRSCHOT,nvt,Nederland,5688 ZG,(0499) 58 33 33,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Oisterwijk,oisterwijk@straat.info,gemeente@oisterwijk.nl,Postbus 10101,OISTERWIJK,nvt,Nederland,5060 GA,(013) 529 13 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Oldambt,oldambt@straat.info,info@gemeente-oldambt.nl,Postbus 175,WINSCHOTEN,nvt,Nederland,9670 AD,(0597) 48 20 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Oldebroek,oldebroek@straat.info,gemeente@oldebroek.nl,Postbus 2,OLDEBROEK,nvt,Nederland,8096 ZG,14 0525,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Oldenzaal,oldenzaal@straat.info,info@oldenzaal.nl,Postbus 354,OLDENZAAL,nvt,Nederland,7570 AJ,(0541) 58 81 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Olst-Wijhe,olst@straat.info,gemeente@olst-wijhe.nl,Postbus 23,WIJHE,nvt,Nederland,8130 AA,14 0570,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Ommen,ommen@straat.info,gemeente@ommen.nl,Postbus 100,OMMEN,nvt,Nederland,7730 AC,(0529) 45 91 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Oost Gelre,oost@straat.info,gemeente@oostgelre.nl,Postbus 17,LICHTENVOORDE,nvt,Nederland,7130 AA,(0544) 39 35 35,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Oosterhout,oosterhout@straat.info,stadhuis@oosterhout.nl,Postbus 10150,OOSTERHOUT NB,nvt,Nederland,4900 GB,14 0162,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Ooststellingwerf,ooststellingwerf@straat.info,gemeente@ooststellingwerf.nl,Postbus 38,OOSTERWOLDE FR,nvt,Nederland,8430 AA,(0516) 56 62 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Oostzaan,oostzaan@straat.info,antwoord@oostzaan.nl,Postbus 20,WORMER,nvt,Nederland,1530 AA,(075) 651 21 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Opmeer,opmeer@straat.info,gemeente@opmeer.nl,Postbus 199,SPANBROEK,nvt,Nederland,1715 ZK,(0226) 36 33 33,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Opsterland,opsterland@straat.info,gemeente@opsterland.nl,Postbus 10000,BEETSTERZWAAG,nvt,Nederland,9244 ZP,(0512) 38 62 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Oss,oss@straat.info,Gemeente@oss.nl,Postbus 5,OSS,nvt,Nederland,5340 BA,14 0412,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Oude IJsselstreek,oude@straat.info,info@oude-ijsselstreek.nl,Postbus 42,GENDRINGEN,nvt,Nederland,7080 AA,(0315) 29 22 92,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Ouder-Amstel,ouder@straat.info,gemeente@ouder-amstel.nl,Postbus 35,OUDERKERK AAN DE AMSTEL,nvt,Nederland,1190 AA,(020) 496 21 21,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Oudewater,oudewater@straat.info,info@oudewater.nl,Postbus 100,OUDEWATER,nvt,Nederland,3420 DC,(0348) 56 69 99,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Overbetuwe,overbetuwe@straat.info,info@overbetuwe.nl,Postbus 11,ELST GLD,nvt,Nederland,6660 AA,(0481) 36 23 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Papendrecht,papendrecht@straat.info,pbgemeentebestuur@papendrecht.nl,Postbus 11,PAPENDRECHT,nvt,Nederland,3350 AA,14078,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Peel en Maas,peel@straat.info,info@peelenmaas.nl,Postbus 7088,PANNINGEN,nvt,Nederland,5980 AB,(077) 306 66 66,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Pekela,pekela@straat.info,info@pekela.nl,Postbus 20000,OUDE PEKELA,nvt,Nederland,9665 ZM,(0597) 61 75 55,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Pijnacker-Nootdorp,pijnacker@straat.info,info@pijnacker-nootdorp.nl,Postbus 1,PIJNACKER,nvt,Nederland,2640 AA,14 015,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Purmerend,purmerend@straat.info,info@purmerend.nl,Postbus 15,PURMEREND,nvt,Nederland,1440 AA,(0299) 45 24 52,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Putten,putten@straat.info,info@putten.nl,Postbus 400,PUTTEN,nvt,Nederland,3880 AK,(0341) 35 96 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Raalte,raalte@straat.info,info@raalte.nl,Postbus 140,RAALTE,nvt,Nederland,8100 AC,(0572) 34 77 99,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Reimerswaal,reimerswaal@straat.info,gemeente@reimerswaal.nl,Postbus 70,KRUININGEN,nvt,Nederland,4416 ZH,140113,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Renkum,renkum@straat.info,info@renkum.nl,Postbus 9100,OOSTERBEEK,nvt,Nederland,6860 HA,(026) 334 81 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Renswoude,renswoude@straat.info,info@renswoude.nl,Postbus 8,RENSWOUDE,nvt,Nederland,3927 ZL,(0318) 57 81 50,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Reusel-De Mierden,reusel@straat.info,gemeente@reuseldemierden.nl,Postbus 11,REUSEL,nvt,Nederland,5540 AA,(0497) 65 06 50,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Rheden,rheden@straat.info,gemeente@rheden.nl,Postbus 9110,DE STEEG,nvt,Nederland,6994 ZJ,(026) 497 69 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Rhenen,rhenen@straat.info,info@rhenen.nl,Postbus 201,RHENEN,nvt,Nederland,3910 AE,(0317) 68 16 81,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Ridderkerk,ridderkerk@straat.info,info@ridderkerk.nl,Postbus 271,RIDDERKERK,nvt,Nederland,2980 AG,(0180) 45 12 34,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Rijssen-Holten,rijssen@straat.info,gemeente@rijssen-holten.nl,Postbus 244,RIJSSEN,nvt,Nederland,7460 AE,(0548) 85 48 54,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Rijswijk,rijswijk@straat.info,stadhuis@rijswijk.nl,Postbus 5305,RIJSWIJK ZH,nvt,Nederland,2280 HH,14070,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Roerdalen,roerdalen@straat.info,info@roerdalen.nl,Postbus 6099,SINT ODILIENBERG,nvt,Nederland,6077 ZH,(0475) 53 88 88,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Roermond,roermond@straat.info,mail@roermond.nl,Postbus 900,ROERMOND,nvt,Nederland,6040 AX,14 0475,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Roosendaal,roosendaal@straat.info,info@roosendaal.nl,Postbus 5000,ROOSENDAAL,nvt,Nederland,4700 KA,(0165) 57 91 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Rotterdam,rotterdam@straat.info,info@rotterdam.nl,Postbus 70012,ROTTERDAM,nvt,Nederland,3000 KP,14 010,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Rozendaal,rozendaal@straat.info,gemeente@rozendaal.nl,Postbus 9106,VELP GLD,nvt,Nederland,6880 HH,(026) 384 36 66,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Rucphen,rucphen@straat.info,gemeente@rucphen.nl,Postbus 9,RUCPHEN,nvt,Nederland,4715 ZG,(0165) 34 95 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Schagen,schagen@straat.info,postbus8@schagen.nl,Postbus 8,SCHAGEN,nvt,Nederland,1740 AA,(0224) 21 04 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Scherpenzeel,scherpenzeel@straat.info,info@scherpenzeel.nl,Postbus 100,SCHERPENZEEL GLD,nvt,Nederland,3925 ZJ,(033) 277 23 24,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Schiedam,schiedam@straat.info,contact@schiedam.nl,Postbus 1501,SCHIEDAM,nvt,Nederland,3100 EA,14 010,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Schiermonnikoog,schiermonnikoog@straat.info,postbus20@schiermonnikoog.nl,Postbus 20,SCHIERMONNIKOOG,nvt,Nederland,9166 ZP,(0519) 53 50 50,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Schouwen-Duiveland,schouwen@straat.info,gemeente@schouwen-duiveland.nl,Postbus 5555,ZIERIKZEE,nvt,Nederland,4300 JA,(0111) 45 20 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente 's-Hertogenbosch,denbosch@straat.info,gemeente@s-hertogenbosch.nl,Postbus 12345,'S-HERTOGENBOSCH,nvt,Nederland,5200 GZ,(073) 615 51 55,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Simpelveld,simpelveld@straat.info,info@simpelveld.nl,Postbus 21000,SIMPELVELD,nvt,Nederland,6369 ZG,14 045,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Sint Anthonis,sintanthonis@straat.info,postbus@sintanthonis.nl,Postbus 40,SINT ANTHONIS,nvt,Nederland,5845 ZG,(0485) 38 88 88,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Sint-Michielsgestel,sintmichielsgestel@straat.info,gemeente@sint-michielsgestel.nl,Postbus 10000,SINT-MICHIELSGESTEL,nvt,Nederland,5270 GA,(073) 553 11 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Sittard-Geleen,sittard@straat.info,info@sittard-geleen.nl,Postbus 18,SITTARD,nvt,Nederland,6130 AA,14 046,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Sliedrecht,sliedrecht@straat.info,gemeente@sliedrecht.nl,Postbus 16,SLIEDRECHT,nvt,Nederland,3360 AA,(0184) 49 59 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Sluis,sluis@straat.info,info@gemeentesluis.nl,Postbus 27,OOSTBURG,nvt,Nederland,4500 AA,(0117) 45 70 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Smallingerland,smallingerland@straat.info,gemeente@smallingerland.nl,Postbus 10000,DRACHTEN,nvt,Nederland,9200 HA,(0512) 58 12 34,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Soest,soest@straat.info,Postbus2000@soest.nl,Postbus 2000,SOEST,nvt,Nederland,3760 CA,(035) 609 34 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Someren,someren@straat.info,gemeente@someren.nl,Postbus 290,SOMEREN,nvt,Nederland,5710 AG,(0493) 49 48 88,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Son en Breugel,son@straat.info,gemeente@sonenbreugel.nl,Postbus 8,SON EN BREUGEL,nvt,Nederland,5690 AA,(0499) 49 14 91,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Stadskanaal,stadskanaal@straat.info,gemeente@stadskanaal.nl,Postbus 140,STADSKANAAL,nvt,Nederland,9500 AC,(0599) 63 16 31,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Staphorst,staphorst@straat.info,gemeente@staphorst.nl,Postbus 2,STAPHORST,nvt,Nederland,7950 AA,(0522) 46 74 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Stede Broec,stede@straat.info,gemeente@stedebroec.nl,Postbus 20,BOVENKARSPEL,nvt,Nederland,1610 AA,(0228) 51 01 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
