host name,Address,Postal code,City,Email address,phone number
Gemeente Rijswijk,Postbus 5305,2280 HH,RIJSWIJK ZH,rijswijk@straat.info,14070
Gemeente Roerdalen,Postbus 6099,6077 ZH,SINT ODILIENBERG,roerdalen@straat.info,(0475) 53 88 88
Gemeente Roermond,Postbus 900,6040 AX,ROERMOND,roermond@straat.info,14 0475
Gemeente Roosendaal,Postbus 5000,4700 KA,ROOSENDAAL,roosendaal@straat.info,(0165) 57 91 11
Gemeente Rotterdam,Postbus 70012,3000 KP,ROTTERDAM,rotterdam@straat.info,14 010
Gemeente Rozendaal,Postbus 9106,6880 HH,VELP GLD,rozendaal@straat.info,(026) 384 36 66
Gemeente Rucphen,Postbus 9,4715 ZG,RUCPHEN,rucphen@straat.info,(0165) 34 95 00
Gemeente Schagen,Postbus 8,1740 AA,SCHAGEN,schagen@straat.info,(0224) 21 04 00
Gemeente Scherpenzeel,Postbus 100,3925 ZJ,SCHERPENZEEL GLD,scherpenzeel@straat.info,(033) 277 23 24
Gemeente Schiedam,Postbus 1501,3100 EA,SCHIEDAM,schiedam@straat.info,14 010
Gemeente Schiermonnikoog,Postbus 20,9166 ZP,SCHIERMONNIKOOG,schiermonnikoog@straat.info,(0519) 53 50 50
Gemeente Schinnen,Postbus 50,6365 ZH,SCHINNEN,schinnen@straat.info,14 046
Gemeente Schouwen-Duiveland,Postbus 5555,4300 JA,ZIERIKZEE,schouwen@straat.info,(0111) 45 20 00
Gemeente 's-Hertogenbosch,Postbus 12345,5200 GZ,'S-HERTOGENBOSCH,denbosch@straat.info,(073) 615 51 55
Gemeente Simpelveld,Postbus 21000,6369 ZG,SIMPELVELD,simpelveld@straat.info,14 045
Gemeente Sint Anthonis,Postbus 40,5845 ZG,SINT ANTHONIS,sintanthonis@straat.info,(0485) 38 88 88
Gemeente Sint-Michielsgestel,Postbus 10000,5270 GA,SINT-MICHIELSGESTEL,sintmichielsgestel@straat.info,(073) 553 11 11
Gemeente Sittard-Geleen,Postbus 18,6130 AA,SITTARD,sittard@straat.info,14 046
Gemeente Sliedrecht,Postbus 16,3360 AA,SLIEDRECHT,sliedrecht@straat.info,(0184) 49 59 00
Gemeente Sluis,Postbus 27,4500 AA,OOSTBURG,sluis@straat.info,(0117) 45 70 00
Gemeente Smallingerland,Postbus 10000,9200 HA,DRACHTEN,smallingerland@straat.info,(0512) 58 12 34
Gemeente Soest,Postbus 2000,3760 CA,SOEST,soest@straat.info,(035) 609 34 11
Gemeente Someren,Postbus 290,5710 AG,SOMEREN,someren@straat.info,(0493) 49 48 88
Gemeente Son en Breugel,Postbus 8,5690 AA,SON EN BREUGEL,son@straat.info,(0499) 49 14 91
Gemeente Stadskanaal,Postbus 140,9500 AC,STADSKANAAL,stadskanaal@straat.info,(0599) 63 16 31
Gemeente Staphorst,Postbus 2,7950 AA,STAPHORST,staphorst@straat.info,(0522) 46 74 00
Gemeente Stede Broec,Postbus 20,1610 AA,BOVENKARSPEL,stede@straat.info,(0228) 51 01 11
Gemeente Steenbergen,Postbus 6,4650 AA,STEENBERGEN NB,steenbergen@straat.info,140167
Gemeente Steenwijkerland,Postbus 162,8330 AD,STEENWIJK,steenwijkerland@straat.info,14 0521
Gemeente Stein,Postbus 15,6170 AA,STEIN LB,stein@straat.info,(046) 435 93 93
Gemeente Stichtse Vecht,Postbus 1212,3600 BE,MAARSSEN,stichtse@straat.info,(0346) 25 40 00
Gemeente Strijen,Postbus 5881,3290 EA,STRIJEN,strijen@straat.info,(078) 674 82 00
Gemeente Súdwest Fryslân,Postbus 10000,8600 HA,SNEEK,súdwest@straat.info,(0515) 48 90 00
Gemeente Ten Boer,Postbus 7,9790 AA,TEN BOER,ten@straat.info,(050) 302 88 88
Gemeente Terneuzen,Postbus 35,4530 AA,TERNEUZEN,terneuzen@straat.info,140115
Gemeente Terschelling,Postbus 14,8880 AA,WEST-TERSCHELLING,terschelling@straat.info,(0562) 44 62 44
Gemeente Texel,Postbus 200,1790 AE,DEN BURG,texel@straat.info,140222
Gemeente Teylingen,Postbus 149,2215 ZJ,VOORHOUT,teylingen@straat.info,(0252) 78 33 00
Gemeente Tholen,Postbus 51,4690 AB,THOLEN,tholen@straat.info,14 0166
Gemeente Tiel,Postbus 6325,4000 HH,TIEL,tiel@straat.info,(0344) 63 71 11
Gemeente Tilburg,Postbus 90155,5000 LH,TILBURG,tilburg@straat.info,14 013
Gemeente Tubbergen,Postbus 30,7650 AA,TUBBERGEN,tubbergen@straat.info,(0546) 62 80 00
Gemeente Twenterand,Postbus 67,7670 AB,VRIEZENVEEN,twenterand@straat.info,(0546) 84 08 40
Gemeente Tynaarlo,Postbus 5,9480 AA,VRIES,tynaarlo@straat.info,(0592) 26 66 62
Gemeente Tytsjerksteradiel,Postbus 3,9250 AA,BURGUM,tytsjerksteradiel@straat.info,(0511) 46 08 60
Gemeente Uden,Postbus 83,5400 AB,UDEN,uden@straat.info,140413
Gemeente Uitgeest,Postbus 7,1910 AA,UITGEEST,uitgeest@straat.info,14 0251
Gemeente Uithoorn,Postbus 8,1420 AA,UITHOORN,uithoorn@straat.info,(0297) 51 31 11
Gemeente Urk,Postbus 77,8320 AB,URK,urk@straat.info,(0527) 68 98 68
Gemeente Utrecht,Postbus 16200,3500 CE,UTRECHT,utrecht@straat.info,(030) 286 00 00
Gemeente Utrechtse Heuvelrug,Postbus 200,3940 AE,DOORN,utrechtse@straat.info,(0343) 56 56 00
Gemeente Vaals,Postbus 450,6290 AL,VAALS,vaals@straat.info,(043) 306 85 68
Gemeente Valkenburg aan de Geul,Postbus 998,6300 AZ,VALKENBURG LB,valkenburg@straat.info,14 043
Gemeente Valkenswaard,Postbus 10100,5550 GA,VALKENSWAARD,valkenswaard@straat.info,(040) 208 34 44
Gemeente Veendam,Postbus 20004,9640 PA,VEENDAM,veendam@straat.info,(0598) 65 22 22
Gemeente Veenendaal,Postbus 1100,3900 BC,VEENENDAAL,veenendaal@straat.info,(0318) 53 85 38
Gemeente Veere,Postbus 1000,4357 ZV,DOMBURG,veere@straat.info,(0118) 55 54 44
Gemeente Veldhoven,Postbus 10101,5500 GA,VELDHOVEN,veldhoven@straat.info,(040) 258 44 11
Gemeente Velsen,Postbus 465,1970 AL,IJMUIDEN,velsen@straat.info,(0255) 56 72 00
Gemeente Venlo,Postbus 3434,5902 RK,VENLO,venlo@straat.info,14 077
Gemeente Venray,Postbus 500,5800 AM,VENRAY,venray@straat.info,(0478) 52 33 33
Gemeente Vianen,Postbus 46,4130 EA,VIANEN UT,vianen@straat.info,(0347) 36 99 11
Gemeente Vlaardingen,Postbus 1002,3130 EB,VLAARDINGEN,vlaardingen@straat.info,(010) 248 40 00
Gemeente Vlieland,Postbus 10,8899 ZN,VLIELAND,vlieland@straat.info,(0562) 45 27 00
Gemeente Vlissingen,Postbus 3000,4380 GV,VLISSINGEN,vlissingen@straat.info,(0118) 48 70 00
Gemeente Voerendaal,Postbus 23000,6367 ZG,VOERENDAAL,voerendaal@straat.info,(045) 575 33 99
Gemeente Voorschoten,Postbus 393,2250 AJ,VOORSCHOTEN,voorschoten@straat.info,(071) 560 06 00
Gemeente Voorst,Postbus 9000,7390 HA,TWELLO,voorst@straat.info,(0571) 27 99 11
Gemeente Vught,Postbus 10100,5260 GA,VUGHT,vught@straat.info,(073) 658 06 80
Gemeente Waadhoeke,Postbus 58,8800 AB ,FRANEKER,franeker@straat.info ,(0517) 380380
Gemeente Waalre,Postbus 10000,5580 GA,WAALRE,waalre@straat.info,(040) 228 25 00
Gemeente Waalwijk,Postbus 10150,5140 GB,WAALWIJK,waalwijk@straat.info,(0416) 68 34 56
Gemeente Waddinxveen,Postbus 400,2740 AK,WADDINXVEEN,waddinxveen@straat.info,14 0182
Gemeente Wageningen,Postbus 1,6700 AA,WAGENINGEN,wageningen@straat.info,(0317) 49 29 11
Gemeente Wassenaar,Postbus 499,2240 AL,WASSENAAR,wassenaar@straat.info,(070) 512 22 22
Gemeente Waterland,Postbus 1000,1140 BA,MONNICKENDAM,waterland@straat.info,(0299) 65 85 85
Gemeente Weert,Postbus 950,6000 AZ,WEERT,weert@straat.info,(0495) 57 50 00
Gemeente Weesp,Postbus 5099,1380 GB,WEESP,weesp@straat.info,(0294) 49 13 91
Gemeente Werkendam,Postbus 16,4250 DA,WERKENDAM,werkendam@straat.info,(0183) 50 72 00
Gemeente West Maas en Waal,Postbus 1,6658 ZG,BENEDEN-LEEUWEN,west@straat.info,14 0487
Gemeente Westerveld,Postbus 50,7970 AB,HAVELTE,westerveld@straat.info,(0521) 34 93 49
Gemeente Westervoort,Postbus 40,6930 AA,WESTERVOORT,westervoort@straat.info,(026) 317 99 11
Gemeente Westland,Postbus 150,2670 AD,NAALDWIJK,westland@straat.info,14 0174
Gemeente Weststellingwerf,Postbus 60,8470 AB,WOLVEGA,weststellingwerf@straat.info,140561
Gemeente Westvoorne,Postbus 550,3235 ZH,ROCKANJE,westvoorne@straat.info,(0181) 40 80 00
Gemeente Westerwolde,Postbus 14,9550 AA,SELLINGEN,westerwolde@straat.info,(0599) 32 02 20
Gemeente Wierden,Postbus 43,7640 AA,WIERDEN,wierden@straat.info,(0546) 58 08 00
Gemeente Wijchen,Postbus 9000,6600 HA,WIJCHEN,wijchen@straat.info,14 024
Gemeente Wijdemeren,Postbus 190,1230 AD,LOOSDRECHT,wijdemeren@straat.info,(035) 655 95 95
Gemeente Wijk bij Duurstede,Postbus 83,3960 BB,WIJK BIJ DUURSTEDE,wijk@straat.info,(0343) 59 55 95
Gemeente Winsum,Postbus 10,9950 AA,WINSUM GN,winsum@straat.info,(0595) 44 77 77
Gemeente Winterswijk,Postbus 101,7100 AC,WINTERSWIJK,winterswijk@straat.info,(0543) 54 35 43
Gemeente Woensdrecht,Postbus 24,4630 AA,HOOGERHEIDE,woensdrecht@straat.info,14 0164
Gemeente Woerden,Blekerijlaan 14,3447 GR,WOERDEN,woerden@straat.info,14 0348
Gemeente Wormerland,Postbus 20,1530 AA,WORMER,wormerland@straat.info,(075) 642 90 00
Gemeente Woudenberg,Postbus 16,3930 EA,WOUDENBERG,woudenberg@straat.info,(033) 286 91 00
Gemeente Woudrichem,Postbus 6,4285 ZG,WOUDRICHEM,woudrichem@straat.info,(0183) 30 81 00
Gemeente Zaanstad,Postbus 2000,1500 GA,ZAANDAM,zaanstad@straat.info,14075
Gemeente Zaltbommel,Postbus 10002,5300 DA,ZALTBOMMEL,zaltbommel@straat.info,14 0418
Gemeente Zandvoort,Postbus 2,2040 AA,ZANDVOORT,zandvoort@straat.info,(023) 574 01 00
Gemeente Zederik,Postbus 1,4230 BA,MEERKERK,zederik@straat.info,(0183) 35 65 00
Gemeente Zeewolde,Postbus 1,3890 AA,ZEEWOLDE,zeewolde@straat.info,(036) 522 95 22
Gemeente Zeist,Postbus 513,3700 AM,ZEIST,zeist@straat.info,14 030
Gemeente Zevenaar,Postbus 10,6900 AA,ZEVENAAR,zevenaar@straat.info,(0316) 59 51 11
Gemeente Zoetermeer,Postbus 15,2700 AA,ZOETERMEER,zoetermeer@straat.info,14 079
Gemeente Zoeterwoude,Postbus 34,2380 AA,ZOETERWOUDE,zoeterwoude@straat.info,(071) 580 63 00
Gemeente Zuidhorn,Postbus 3,9800 AA,ZUIDHORN,zuidhorn@straat.info,(0594) 50 88 88
Gemeente Zuidplas,Postbus 100,2910 AC,NIEUWERKERK AD IJSSEL,zuidplas@straat.info,(0180) 33 03 00
Gemeente Zundert,Postbus 10001,4880 GA,ZUNDERT,zundert@straat.info,(076) 599 56 00
Gemeente Zutphen,Postbus 41,7200 AA,ZUTPHEN,zutphen@straat.info,14 0575
Gemeente Zwartewaterland,Postbus 23,8060 AA,HASSELT,zwartewaterland@straat.info,(038) 385 30 00
Gemeente Zwijndrecht,Postbus 15,3330 AA,ZWIJNDRECHT,zwijndrecht@straat.info,14078
Gemeente Zwolle,Postbus 10007,8000 GA,ZWOLLE,zwolle@straat.info,14038
