hostName,alternateHostName,email,houseNumber,street ,address,city,state,country,postalCode,phoneNumber,fname,lname,personalEmail,long,lat
Gemeente Laarbeek,,laarbeek@straat.info,,,Postbus 190,BEEK EN DONK,nvt,Nederland,5740 AD,(0492) 46 97 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Landerd,,landerd@straat.info,,,Postbus 35,ZEELAND,nvt,Nederland,5410 AA,(0486) 45 81 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Landgraaf,,landgraaf@straat.info,,,Postbus 31000,LANDGRAAF,nvt,Nederland,6370 AA,14 045,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Landsmeer,,landsmeer@straat.info,,,Postbus 1,LANDSMEER,nvt,Nederland,1120 AA,(020) 487 71 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Langedijk,,langedijk@straat.info,,,Postbus 15,NOORD-SCHARWOUDE,nvt,Nederland,1723 ZG,(0226) 33 44 33,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Lansingerland,,lansingerland@straat.info,,,Postbus 1,BERKEL EN RODENRIJS,nvt,Nederland,2650 AA,14 010,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Laren,,laren@straat.info,,,Postbus 71,EEMNES,nvt,Nederland,3755 ZH,(035) 751 34 44,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Leeuwarden,,leeuwarden@straat.info,,,Postbus 21000,LEEUWARDEN,nvt,Nederland,8900 JA,14 058,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Leiden,,leiden@straat.info,,,Postbus 9100,LEIDEN,nvt,Nederland,2300 PC,14071,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Leiderdorp,,leiderdorp@straat.info,,,Postbus 35,LEIDERDORP,nvt,Nederland,2350 AA,(071) 545 85 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Leidschendam-Voorburg,,leidschendam@straat.info,,,Postbus 1005,LEIDSCHENDAM,nvt,Nederland,2260 BA,14070,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Lelystad,,lelystad@straat.info,,,Postbus 91,LELYSTAD,nvt,Nederland,8200 AB,14 03 20,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Leudal,,leudal@straat.info,,,Postbus 3008,HEYTHUYSEN,nvt,Nederland,6093 ZG,(0475) 85 90 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Leusden,,leusden@straat.info,,,Postbus 150,LEUSDEN,nvt,Nederland,3830 AD,14 033,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Lingewaard,,lingewaard@straat.info,,,Postbus 15,BEMMEL,nvt,Nederland,6680 AA,(026) 326 01 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Lisse,,lisse@straat.info,,,Postbus 200,LISSE,nvt,Nederland,2160 AE,14 0252,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Lochem,,lochem@straat.info,,,Postbus 17,LOCHEM,nvt,Nederland,7240 AA,(0573) 28 92 22,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Loon op Zand,,loon@straat.info,,,Postbus 7,KAATSHEUVEL,nvt,Nederland,5170 AA,(0416) 28 91 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Lopik,,lopik@straat.info,,,Postbus 50,LOPIK,nvt,Nederland,3410 CB,(0348) 55 99 55,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Loppersum,,loppersum@straat.info,,,Postbus 25,LOPPERSUM,nvt,Nederland,9919 ZG,(0596) 54 82 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Losser,,losser@straat.info,,,Postbus 90,LOSSER,nvt,Nederland,7580 AB,(053) 537 74 44,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Maasdriel,,maasdriel@straat.info,,,Postbus 10000,KERKDRIEL,nvt,Nederland,5330 GA,14 0418,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Maasgouw,,maasgouw@straat.info,,,Postbus 7000,MAASBRACHT,nvt,Nederland,6050 AA,(0475) 85 25 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Maassluis,,maassluis@straat.info,,,Postbus 55,MAASSLUIS,nvt,Nederland,3140 AB,14 010,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Maastricht,,maastricht@straat.info,,,Postbus 1992,MAASTRICHT,nvt,Nederland,6201 BZ,14 043,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Medemblik,,medemblik@straat.info,,,Postbus 45,WOGNUM,nvt,Nederland,1687 ZG,(0229) 85 60 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Meerssen,,meerssen@straat.info,,,Postbus 90,MEERSSEN,nvt,Nederland,6230 AB,14 043,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Meierijstad,,meierijstad@straat.info,,,Postbus 10001,Veghel,nvt,Nederland,5460 DA,14 0413,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Meppel,,meppel@straat.info,,,Postbus 501,MEPPEL,nvt,Nederland,7940 AM,14 0522,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Middelburg,,middelburg@straat.info,,,Postbus 6000,MIDDELBURG,nvt,Nederland,4330 LA,14 0118,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Midden-Delfland,,middendelfland@straat.info,,,Postbus 1,SCHIPLUIDEN,nvt,Nederland,2636 ZG,(015) 380 41 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Midden-Drenthe,,middendrenthe@straat.info,,,Postbus 24,BEILEN,nvt,Nederland,9410 AA,(0593) 53 92 22,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Midden-Groningen,,middengroningen@straat.info,,,Postbus 75,HOOGEZAND,nvt,Nederland,9600 AB,(0598) 373737,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Mill en St. Hubert,,mill@straat.info,,,Postbus 7,GRAVE,nvt,Nederland,5360 AA,(0485) 46 03 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Moerdijk,,moerdijk@straat.info,,,Postbus 4,ZEVENBERGEN,nvt,Nederland,4760 AA,(0168) 37 36 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Molenlanden,,info@molenlanden.nl,,,Postbus 5,Bleskensgraaf,nvt,Nederland,2970 AA,088 7515000,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Montferland,,montferland@straat.info,,,Postbus 47,DIDAM,nvt,Nederland,6940 BA,(0316) 29 13 91,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Montfoort,,montfoort@straat.info,,,Postbus 41,MONTFOORT,nvt,Nederland,3417 ZG,(0348) 47 64 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Mook en Middelaar,,mook@straat.info,,,Postbus 200,MOOK,nvt,Nederland,6585 ZK,(024) 696 91 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Neder-Betuwe,,neder@straat.info,,,Postbus 20,OPHEUSDEN,nvt,Nederland,4043 ZG,(0488) 44 99 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Nederweert,,nederweert@straat.info,,,Postbus 2728,NEDERWEERT,nvt,Nederland,6030 AA,(0495) 67 71 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Nieuwegein,,nieuwegein@straat.info,,,Postbus 1,NIEUWEGEIN,nvt,Nederland,3430 AA,14 030,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Nieuwkoop,,nieuwkoop@straat.info,,,Postbus 1,TER AAR,nvt,Nederland,2460 AA,14 0172,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Nijkerk,,nijkerk@straat.info,,,Postbus 1000,NIJKERK GLD,nvt,Nederland,3860 BA,14 033,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Nijmegen,,nijmegen@straat.info,,,Postbus 9105,NIJMEGEN,nvt,Nederland,6500 HG,14-024,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Nissewaard,,nissewaard@straat.info,,,Postbus 25,SPIJKENISSE,nvt,Nederland,3200 AA,14 0181,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Noardeast-Fryslan,,info@noardeast-fryslan.nl,,,Postbus 13,Kollum,nvt,Nederland,9290 AA,0519 298888,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Noord-Beveland,,noord@straat.info,,,Postbus 3,WISSENKERKE,nvt,Nederland,4490 AA,(0113) 37 73 77,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Noordenveld,,noordenveld@straat.info,,,Postbus 109,RODEN,nvt,Nederland,9300 AC,14 050,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Noordoostpolder,,noordoostpolder@straat.info,,,Postbus 155,EMMELOORD,nvt,Nederland,8300 AD,(0527) 63 39 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Noordwijk,,noordwijk@straat.info,,,Postbus 298,NOORDWIJK ZH,nvt,Nederland,2200 AG,(071) 366 00 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Nuenen,,nuenen@straat.info,,,Postbus 10000,NUENEN,nvt,Nederland,5670 GA,(040) 263 16 31,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Nunspeet,,nunspeet@straat.info,,,Postbus 79,NUNSPEET,nvt,Nederland,8070 AB,(0341) 25 99 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Oegstgeest,,oegstgeest@straat.info,,,Postbus 1270,OEGSTGEEST,nvt,Nederland,2340 BG,(071) 519 17 93,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Oirschot,,oirschot@straat.info,,,Postbus 11,OIRSCHOT,nvt,Nederland,5688 ZG,(0499) 58 33 33,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Oisterwijk,,oisterwijk@straat.info,,,Postbus 10101,OISTERWIJK,nvt,Nederland,5060 GA,(013) 529 13 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Oldambt,,oldambt@straat.info,,,Postbus 175,WINSCHOTEN,nvt,Nederland,9670 AD,(0597) 48 20 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Oldebroek,,oldebroek@straat.info,,,Postbus 2,OLDEBROEK,nvt,Nederland,8096 ZG,14 0525,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Oldenzaal,,oldenzaal@straat.info,,,Postbus 354,OLDENZAAL,nvt,Nederland,7570 AJ,(0541) 58 81 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Olst-Wijhe,,olst@straat.info,,,Postbus 23,WIJHE,nvt,Nederland,8130 AA,14 0570,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Ommen,,ommen@straat.info,,,Postbus 100,OMMEN,nvt,Nederland,7730 AC,(0529) 45 91 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Oost Gelre,,oost@straat.info,,,Postbus 17,LICHTENVOORDE,nvt,Nederland,7130 AA,(0544) 39 35 35,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Oosterhout,,oosterhout@straat.info,,,Postbus 10150,OOSTERHOUT NB,nvt,Nederland,4900 GB,14 0162,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Ooststellingwerf,,ooststellingwerf@straat.info,,,Postbus 38,OOSTERWOLDE FR,nvt,Nederland,8430 AA,(0516) 56 62 22,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Oostzaan,,oostzaan@straat.info,,,Postbus 20,WORMER,nvt,Nederland,1530 AA,(075) 651 21 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Opmeer,,opmeer@straat.info,,,Postbus 199,SPANBROEK,nvt,Nederland,1715 ZK,(0226) 36 33 33,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Opsterland,,opsterland@straat.info,,,Postbus 10000,BEETSTERZWAAG,nvt,Nederland,9244 ZP,(0512) 38 62 22,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Oss,,oss@straat.info,,,Postbus 5,OSS,nvt,Nederland,5340 BA,14 0412,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Oude IJsselstreek,,oude@straat.info,,,Postbus 42,GENDRINGEN,nvt,Nederland,7080 AA,(0315) 29 22 92,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Ouder-Amstel,,ouder@straat.info,,,Postbus 35,OUDERKERK AAN DE AMSTEL,nvt,Nederland,1190 AA,(020) 496 21 21,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Oudewater,,oudewater@straat.info,,,Postbus 100,OUDEWATER,nvt,Nederland,3420 DC,(0348) 56 69 99,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Overbetuwe,,overbetuwe@straat.info,,,Postbus 11,ELST GLD,nvt,Nederland,6660 AA,(0481) 36 23 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Papendrecht,,papendrecht@straat.info,,,Postbus 11,PAPENDRECHT,nvt,Nederland,3350 AA,14078,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Peel en Maas,,peel@straat.info,,,Postbus 7088,PANNINGEN,nvt,Nederland,5980 AB,(077) 306 66 66,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Pekela,,pekela@straat.info,,,Postbus 20000,OUDE PEKELA,nvt,Nederland,9665 ZM,(0597) 61 75 55,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Pijnacker-Nootdorp,,pijnacker@straat.info,,,Postbus 1,PIJNACKER,nvt,Nederland,2640 AA,14 015,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Purmerend,,purmerend@straat.info,,,Postbus 15,PURMEREND,nvt,Nederland,1440 AA,(0299) 45 24 52,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Putten,,putten@straat.info,,,Postbus 400,PUTTEN,nvt,Nederland,3880 AK,(0341) 35 96 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Raalte,,raalte@straat.info,,,Postbus 140,RAALTE,nvt,Nederland,8100 AC,(0572) 34 77 99,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Reimerswaal,,reimerswaal@straat.info,,,Postbus 70,KRUININGEN,nvt,Nederland,4416 ZH,140113,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Renkum,,renkum@straat.info,,,Postbus 9100,OOSTERBEEK,nvt,Nederland,6860 HA,(026) 334 81 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Renswoude,,renswoude@straat.info,,,Postbus 8,RENSWOUDE,nvt,Nederland,3927 ZL,(0318) 57 81 50,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Reusel-De Mierden,,reusel@straat.info,,,Postbus 11,REUSEL,nvt,Nederland,5540 AA,(0497) 65 06 50,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Rheden,,rheden@straat.info,,,Postbus 9110,DE STEEG,nvt,Nederland,6994 ZJ,(026) 497 69 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Rhenen,,rhenen@straat.info,,,Postbus 201,RHENEN,nvt,Nederland,3910 AE,(0317) 68 16 81,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Ridderkerk,,ridderkerk@straat.info,,,Postbus 271,RIDDERKERK,nvt,Nederland,2980 AG,(0180) 45 12 34,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Rijssen-Holten,,rijssen@straat.info,,,Postbus 244,RIJSSEN,nvt,Nederland,7460 AE,(0548) 85 48 54,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Rijswijk,,rijswijk@straat.info,,,Postbus 5305,RIJSWIJK ZH,nvt,Nederland,2280 HH,14070,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Roerdalen,,roerdalen@straat.info,,,Postbus 6099,SINT ODILIENBERG,nvt,Nederland,6077 ZH,(0475) 53 88 88,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Roermond,,roermond@straat.info,,,Postbus 900,ROERMOND,nvt,Nederland,6040 AX,14 0475,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Roosendaal,,roosendaal@straat.info,,,Postbus 5000,ROOSENDAAL,nvt,Nederland,4700 KA,(0165) 57 91 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Rotterdam,,rotterdam@straat.info,,,Postbus 70012,ROTTERDAM,nvt,Nederland,3000 KP,14 010,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Rozendaal,,rozendaal@straat.info,,,Postbus 9106,VELP GLD,nvt,Nederland,6880 HH,(026) 384 36 66,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Rucphen,,rucphen@straat.info,,,Postbus 9,RUCPHEN,nvt,Nederland,4715 ZG,(0165) 34 95 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Schagen,,schagen@straat.info,,,Postbus 8,SCHAGEN,nvt,Nederland,1740 AA,(0224) 21 04 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Scherpenzeel,,scherpenzeel@straat.info,,,Postbus 100,SCHERPENZEEL GLD,nvt,Nederland,3925 ZJ,(033) 277 23 24,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Schiedam,,schiedam@straat.info,,,Postbus 1501,SCHIEDAM,nvt,Nederland,3100 EA,14 010,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Schiermonnikoog,,schiermonnikoog@straat.info,,,Postbus 20,SCHIERMONNIKOOG,nvt,Nederland,9166 ZP,(0519) 53 50 50,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Schouwen-Duiveland,,schouwen@straat.info,,,Postbus 5555,ZIERIKZEE,nvt,Nederland,4300 JA,(0111) 45 20 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente 's-Hertogenbosch,,denbosch@straat.info,,,Postbus 12345,'S-HERTOGENBOSCH,nvt,Nederland,5200 GZ,(073) 615 51 55,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Simpelveld,,simpelveld@straat.info,,,Postbus 21000,SIMPELVELD,nvt,Nederland,6369 ZG,14 045,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Sint Anthonis,,sintanthonis@straat.info,,,Postbus 40,SINT ANTHONIS,nvt,Nederland,5845 ZG,(0485) 38 88 88,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Sint-Michielsgestel,,sintmichielsgestel@straat.info,,,Postbus 10000,SINT-MICHIELSGESTEL,nvt,Nederland,5270 GA,(073) 553 11 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Sittard-Geleen,,sittard@straat.info,,,Postbus 18,SITTARD,nvt,Nederland,6130 AA,14 046,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Sliedrecht,,sliedrecht@straat.info,,,Postbus 16,SLIEDRECHT,nvt,Nederland,3360 AA,(0184) 49 59 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Sluis,,sluis@straat.info,,,Postbus 27,OOSTBURG,nvt,Nederland,4500 AA,(0117) 45 70 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Smallingerland,,smallingerland@straat.info,,,Postbus 10000,DRACHTEN,nvt,Nederland,9200 HA,(0512) 58 12 34,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Soest,,soest@straat.info,,,Postbus 2000,SOEST,nvt,Nederland,3760 CA,(035) 609 34 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Someren,,someren@straat.info,,,Postbus 290,SOMEREN,nvt,Nederland,5710 AG,(0493) 49 48 88,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Son en Breugel,,son@straat.info,,,Postbus 8,SON EN BREUGEL,nvt,Nederland,5690 AA,(0499) 49 14 91,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Stadskanaal,,stadskanaal@straat.info,,,Postbus 140,STADSKANAAL,nvt,Nederland,9500 AC,(0599) 63 16 31,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Staphorst,,staphorst@straat.info,,,Postbus 2,STAPHORST,nvt,Nederland,7950 AA,(0522) 46 74 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Stede Broec,,stede@straat.info,,,Postbus 20,BOVENKARSPEL,nvt,Nederland,1610 AA,(0228) 51 01 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Steenbergen,,steenbergen@straat.info,,,Postbus 6,STEENBERGEN NB,nvt,Nederland,4650 AA,140167,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Steenwijkerland,,steenwijkerland@straat.info,,,Postbus 162,STEENWIJK,nvt,Nederland,8330 AD,14 0521,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Stein,,stein@straat.info,,,Postbus 15,STEIN LB,nvt,Nederland,6170 AA,(046) 435 93 93,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Stichtse Vecht,,stichtse@straat.info,,,Postbus 1212,MAARSSEN,nvt,Nederland,3600 BE,(0346) 25 40 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Súdwest Fryslân,,súdwest@straat.info,,,Postbus 10000,SNEEK,nvt,Nederland,8600 HA,(0515) 48 90 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Terneuzen,,terneuzen@straat.info,,,Postbus 35,TERNEUZEN,nvt,Nederland,4530 AA,140115,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Terschelling,,terschelling@straat.info,,,Postbus 14,WEST-TERSCHELLING,nvt,Nederland,8880 AA,(0562) 44 62 44,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Texel,,texel@straat.info,,,Postbus 200,DEN BURG,nvt,Nederland,1790 AE,140222,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Teylingen,,teylingen@straat.info,,,Postbus 149,VOORHOUT,nvt,Nederland,2215 ZJ,(0252) 78 33 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Tholen,,tholen@straat.info,,,Postbus 51,THOLEN,nvt,Nederland,4690 AB,14 0166,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Tiel,,tiel@straat.info,,,Postbus 6325,TIEL,nvt,Nederland,4000 HH,(0344) 63 71 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Tilburg,,tilburg@straat.info,,,Postbus 90155,TILBURG,nvt,Nederland,5000 LH,14 013,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Tubbergen,,tubbergen@straat.info,,,Postbus 30,TUBBERGEN,nvt,Nederland,7650 AA,(0546) 62 80 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Twenterand,,twenterand@straat.info,,,Postbus 67,VRIEZENVEEN,nvt,Nederland,7670 AB,(0546) 84 08 40,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Tynaarlo,,tynaarlo@straat.info,,,Postbus 5,VRIES,nvt,Nederland,9480 AA,(0592) 26 66 62,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Tytsjerksteradiel,,tytsjerksteradiel@straat.info,,,Postbus 3,BURGUM,nvt,Nederland,9250 AA,(0511) 46 08 60,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Uden,,uden@straat.info,,,Postbus 83,UDEN,nvt,Nederland,5400 AB,140413,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Uitgeest,,uitgeest@straat.info,,,Postbus 7,UITGEEST,nvt,Nederland,1910 AA,14 0251,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Uithoorn,,uithoorn@straat.info,,,Postbus 8,UITHOORN,nvt,Nederland,1420 AA,(0297) 51 31 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Urk,,urk@straat.info,,,Postbus 77,URK,nvt,Nederland,8320 AB,(0527) 68 98 68,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Utrecht,,utrecht@straat.info,,,Postbus 16200,UTRECHT,nvt,Nederland,3500 CE,(030) 286 00 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Utrechtse Heuvelrug,,utrechtse@straat.info,,,Postbus 200,DOORN,nvt,Nederland,3940 AE,(0343) 56 56 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Vaals,,vaals@straat.info,,,Postbus 450,VAALS,nvt,Nederland,6290 AL,(043) 306 85 68,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Valkenburg aan de Geul,,valkenburg@straat.info,,,Postbus 998,VALKENBURG LB,nvt,Nederland,6300 AZ,14 043,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Valkenswaard,,valkenswaard@straat.info,,,Postbus 10100,VALKENSWAARD,nvt,Nederland,5550 GA,(040) 208 34 44,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Veendam,,veendam@straat.info,,,Postbus 20004,VEENDAM,nvt,Nederland,9640 PA,(0598) 65 22 22,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Veenendaal,,veenendaal@straat.info,,,Postbus 1100,VEENENDAAL,nvt,Nederland,3900 BC,(0318) 53 85 38,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Veere,,veere@straat.info,,,Postbus 1000,DOMBURG,nvt,Nederland,4357 ZV,(0118) 55 54 44,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Veldhoven,,veldhoven@straat.info,,,Postbus 10101,VELDHOVEN,nvt,Nederland,5500 GA,(040) 258 44 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Velsen,,velsen@straat.info,,,Postbus 465,IJMUIDEN,nvt,Nederland,1970 AL,(0255) 56 72 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Venlo,,venlo@straat.info,,,Postbus 3434,VENLO,nvt,Nederland,5902 RK,14 077,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Venray,,venray@straat.info,,,Postbus 500,VENRAY,nvt,Nederland,5800 AM,(0478) 52 33 33,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Vijfheerenlanden,,info@vijfheerenlanden.nl,,,Postbus 11,Leerdam,nvt,Nederland,4140 AA,088 5997000,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Vlieland,,vlieland@straat.info,,,Postbus 10,VLIELAND,nvt,Nederland,8899 ZN,(0562) 45 27 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Vlissingen,,vlissingen@straat.info,,,Postbus 3000,VLISSINGEN,nvt,Nederland,4380 GV,(0118) 48 70 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Voerendaal,,voerendaal@straat.info,,,Postbus 23000,VOERENDAAL,nvt,Nederland,6367 ZG,(045) 575 33 99,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Voorschoten,,voorschoten@straat.info,,,Postbus 393,VOORSCHOTEN,nvt,Nederland,2250 AJ,(071) 560 06 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Voorst,,voorst@straat.info,,,Postbus 9000,TWELLO,nvt,Nederland,7390 HA,(0571) 27 99 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Vught,,vught@straat.info,,,Postbus 10100,VUGHT,nvt,Nederland,5260 GA,(073) 658 06 80,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Waadhoeke,,franeker@straat.info ,,,Postbus 58,FRANEKER,nvt,Nederland,8800 AB,(0517) 380380,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Waalre,,waalre@straat.info,,,Postbus 10000,WAALRE,nvt,Nederland,5580 GA,(040) 228 25 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Waalwijk,,waalwijk@straat.info,,,Postbus 10150,WAALWIJK,nvt,Nederland,5140 GB,(0416) 68 34 56,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Waddinxveen,,waddinxveen@straat.info,,,Postbus 400,WADDINXVEEN,nvt,Nederland,2740 AK,14 0182,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Wageningen,,wageningen@straat.info,,,Postbus 1,WAGENINGEN,nvt,Nederland,6700 AA,(0317) 49 29 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Wassenaar,,wassenaar@straat.info,,,Postbus 499,WASSENAAR,nvt,Nederland,2240 AL,(070) 512 22 22,first,last,personal@straat.info,4.3151,52.0612965
